[2025-02-28T18:25:41.892+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch manual__2025-02-28T18:25:22.783875+00:00 [queued]>
[2025-02-28T18:25:41.898+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch manual__2025-02-28T18:25:22.783875+00:00 [queued]>
[2025-02-28T18:25:41.898+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2025-02-28T18:25:41.908+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): index_parquet_to_elasticsearch> on 2025-02-28 18:25:22.783875+00:00
[2025-02-28T18:25:41.916+0000] {standard_task_runner.py:57} INFO - Started process 46272 to run task
[2025-02-28T18:25:41.921+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'api_to_db_dag', 'index_parquet_to_elasticsearch', 'manual__2025-02-28T18:25:22.783875+00:00', '--job-id', '111', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpgb24weza']
[2025-02-28T18:25:41.924+0000] {standard_task_runner.py:85} INFO - Job 111: Subtask index_parquet_to_elasticsearch
[2025-02-28T18:25:41.958+0000] {task_command.py:410} INFO - Running <TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch manual__2025-02-28T18:25:22.783875+00:00 [running]> on host 2e469bce1432
[2025-02-28T18:25:42.048+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='api_to_db_dag' AIRFLOW_CTX_TASK_ID='index_parquet_to_elasticsearch' AIRFLOW_CTX_EXECUTION_DATE='2025-02-28T18:25:22.783875+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-28T18:25:22.783875+00:00'
[2025-02-28T18:25:42.176+0000] {logging_mixin.py:149} WARNING - /home/***/.local/lib/python3.7/site-packages/pandas/core/array_algos/replace.py:84 FutureWarning: elementwise comparison failed; returning scalar instead, but in the future will perform elementwise comparison
[2025-02-28T18:25:42.248+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/velib_data [status:200 request:0.020s]
[2025-02-28T18:25:42.530+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T18:25:42.564+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.017s]
[2025-02-28T18:25:42.601+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T18:25:42.649+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.036s]
[2025-02-28T18:25:42.680+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.021s]
[2025-02-28T18:25:42.713+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.015s]
