[2025-02-28T19:50:20.263+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T19:48:00+00:00 [queued]>
[2025-02-28T19:50:20.268+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T19:48:00+00:00 [queued]>
[2025-02-28T19:50:20.269+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2025-02-28T19:50:20.277+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): index_parquet_to_elasticsearch> on 2025-02-28 19:48:00+00:00
[2025-02-28T19:50:20.282+0000] {standard_task_runner.py:57} INFO - Started process 60617 to run task
[2025-02-28T19:50:20.287+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'api_to_db_dag', 'index_parquet_to_elasticsearch', 'scheduled__2025-02-28T19:48:00+00:00', '--job-id', '295', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmphkwurep3']
[2025-02-28T19:50:20.288+0000] {standard_task_runner.py:85} INFO - Job 295: Subtask index_parquet_to_elasticsearch
[2025-02-28T19:50:20.347+0000] {task_command.py:410} INFO - Running <TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T19:48:00+00:00 [running]> on host 2e469bce1432
[2025-02-28T19:50:20.415+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='api_to_db_dag' AIRFLOW_CTX_TASK_ID='index_parquet_to_elasticsearch' AIRFLOW_CTX_EXECUTION_DATE='2025-02-28T19:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-28T19:48:00+00:00'
[2025-02-28T19:50:20.547+0000] {logging_mixin.py:149} WARNING - /home/***/.local/lib/python3.7/site-packages/pandas/core/array_algos/replace.py:84 FutureWarning: elementwise comparison failed; returning scalar instead, but in the future will perform elementwise comparison
[2025-02-28T19:50:20.641+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/velib_data_analytics [status:200 request:0.008s]
[2025-02-28T19:50:21.635+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.072s]
[2025-02-28T19:50:21.680+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.032s]
[2025-02-28T19:50:21.734+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.036s]
[2025-02-28T19:50:21.785+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.034s]
[2025-02-28T19:50:21.823+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.028s]
[2025-02-28T19:50:21.851+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.018s]
[2025-02-28T19:50:21.879+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.018s]
[2025-02-28T19:50:21.930+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.042s]
[2025-02-28T19:50:21.964+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.021s]
[2025-02-28T19:50:21.991+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.017s]
