[2025-02-28T20:22:15.370+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:20:00+00:00 [queued]>
[2025-02-28T20:22:15.376+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:20:00+00:00 [queued]>
[2025-02-28T20:22:15.376+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2025-02-28T20:22:15.386+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): index_parquet_to_elasticsearch> on 2025-02-28 20:20:00+00:00
[2025-02-28T20:22:15.391+0000] {standard_task_runner.py:57} INFO - Started process 71068 to run task
[2025-02-28T20:22:15.394+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'api_to_db_dag', 'index_parquet_to_elasticsearch', 'scheduled__2025-02-28T20:20:00+00:00', '--job-id', '423', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmp4md2bsup']
[2025-02-28T20:22:15.395+0000] {standard_task_runner.py:85} INFO - Job 423: Subtask index_parquet_to_elasticsearch
[2025-02-28T20:22:15.430+0000] {task_command.py:410} INFO - Running <TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:20:00+00:00 [running]> on host 2e469bce1432
[2025-02-28T20:22:15.486+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='api_to_db_dag' AIRFLOW_CTX_TASK_ID='index_parquet_to_elasticsearch' AIRFLOW_CTX_EXECUTION_DATE='2025-02-28T20:20:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-28T20:20:00+00:00'
[2025-02-28T20:22:15.675+0000] {logging_mixin.py:149} WARNING - /home/***/.local/lib/python3.7/site-packages/pandas/core/array_algos/replace.py:84 FutureWarning: elementwise comparison failed; returning scalar instead, but in the future will perform elementwise comparison
[2025-02-28T20:22:15.787+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/velib_data_analytics [status:200 request:0.006s]
[2025-02-28T20:22:17.003+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.031s]
[2025-02-28T20:22:17.075+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.062s]
[2025-02-28T20:22:17.107+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.023s]
[2025-02-28T20:22:17.345+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.228s]
[2025-02-28T20:22:18.124+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.768s]
[2025-02-28T20:22:18.177+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.035s]
[2025-02-28T20:22:18.206+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.020s]
[2025-02-28T20:22:18.243+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:22:18.286+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.035s]
[2025-02-28T20:22:18.322+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.027s]
[2025-02-28T20:22:18.347+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:22:18.382+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.024s]
[2025-02-28T20:22:18.416+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.025s]
[2025-02-28T20:22:18.446+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.021s]
[2025-02-28T20:22:18.484+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.023s]
[2025-02-28T20:22:18.519+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:22:18.549+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:22:18.594+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.033s]
[2025-02-28T20:22:18.629+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.023s]
[2025-02-28T20:22:18.664+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.026s]
[2025-02-28T20:22:18.697+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.017s]
[2025-02-28T20:22:18.730+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.021s]
[2025-02-28T20:22:18.764+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.026s]
