[2025-02-28T20:56:16.825+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:54:00+00:00 [queued]>
[2025-02-28T20:56:16.831+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:54:00+00:00 [queued]>
[2025-02-28T20:56:16.831+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2025-02-28T20:56:16.838+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): index_parquet_to_elasticsearch> on 2025-02-28 20:54:00+00:00
[2025-02-28T20:56:16.842+0000] {standard_task_runner.py:57} INFO - Started process 83283 to run task
[2025-02-28T20:56:16.845+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'api_to_db_dag', 'index_parquet_to_elasticsearch', 'scheduled__2025-02-28T20:54:00+00:00', '--job-id', '559', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmp4aal6_ao']
[2025-02-28T20:56:16.847+0000] {standard_task_runner.py:85} INFO - Job 559: Subtask index_parquet_to_elasticsearch
[2025-02-28T20:56:16.879+0000] {task_command.py:410} INFO - Running <TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T20:54:00+00:00 [running]> on host 2e469bce1432
[2025-02-28T20:56:16.933+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='api_to_db_dag' AIRFLOW_CTX_TASK_ID='index_parquet_to_elasticsearch' AIRFLOW_CTX_EXECUTION_DATE='2025-02-28T20:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-28T20:54:00+00:00'
[2025-02-28T20:56:17.008+0000] {logging_mixin.py:149} WARNING - /home/***/.local/lib/python3.7/site-packages/pandas/core/array_algos/replace.py:84 FutureWarning: elementwise comparison failed; returning scalar instead, but in the future will perform elementwise comparison
[2025-02-28T20:56:17.144+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/velib_data_analytics [status:200 request:0.006s]
[2025-02-28T20:56:18.072+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.018s]
[2025-02-28T20:56:18.094+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.167+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.064s]
[2025-02-28T20:56:18.251+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.075s]
[2025-02-28T20:56:18.275+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.294+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.314+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:18.333+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.353+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.373+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.394+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.414+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.454+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.032s]
[2025-02-28T20:56:18.491+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:56:18.518+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:56:18.541+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.563+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.585+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.608+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.639+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.023s]
[2025-02-28T20:56:18.662+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.682+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.703+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.725+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.747+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.015s]
[2025-02-28T20:56:18.770+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.791+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.813+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.834+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.855+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:18.887+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.021s]
[2025-02-28T20:56:18.907+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:18.930+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:18.949+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:18.966+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:18.983+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.000+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.016+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.044+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.020s]
[2025-02-28T20:56:19.080+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:56:19.104+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:19.127+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:19.193+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.051s]
[2025-02-28T20:56:19.214+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.233+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.254+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:19.272+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.298+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:19.317+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.335+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.352+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.372+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.390+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.410+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.531+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.548+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.565+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.583+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.600+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.617+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.634+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.661+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:56:19.678+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.695+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.711+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.728+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.744+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.762+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.780+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.797+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.813+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.835+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:19.857+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.880+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:19.900+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.920+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:19.942+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:19.962+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:19.978+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:19.995+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:20.013+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:20.029+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:20.048+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.072+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.090+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.116+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.136+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.159+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.176+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.198+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.216+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.239+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.009s]
[2025-02-28T20:56:20.256+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.281+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:20.300+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.320+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.346+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.366+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.390+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.408+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.426+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.452+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.474+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:20.510+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:56:20.530+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.558+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:20.610+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.043s]
[2025-02-28T20:56:20.664+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.032s]
[2025-02-28T20:56:20.686+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.720+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:56:20.741+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.763+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.784+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.013s]
[2025-02-28T20:56:20.806+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.831+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:56:20.852+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:20.877+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:20.902+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T20:56:20.928+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.014s]
[2025-02-28T20:56:20.947+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:20.975+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.019s]
[2025-02-28T20:56:20.997+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:21.016+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:21.086+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.048s]
[2025-02-28T20:56:21.109+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.012s]
[2025-02-28T20:56:21.128+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:21.150+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.011s]
[2025-02-28T20:56:21.184+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.022s]
[2025-02-28T20:56:21.204+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
[2025-02-28T20:56:21.222+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.010s]
