[2025-02-28T21:12:16.441+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T21:10:00+00:00 [queued]>
[2025-02-28T21:12:16.447+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T21:10:00+00:00 [queued]>
[2025-02-28T21:12:16.447+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2025-02-28T21:12:16.455+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): index_parquet_to_elasticsearch> on 2025-02-28 21:10:00+00:00
[2025-02-28T21:12:16.460+0000] {standard_task_runner.py:57} INFO - Started process 89441 to run task
[2025-02-28T21:12:16.462+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'api_to_db_dag', 'index_parquet_to_elasticsearch', 'scheduled__2025-02-28T21:10:00+00:00', '--job-id', '623', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpe9zldhj4']
[2025-02-28T21:12:16.463+0000] {standard_task_runner.py:85} INFO - Job 623: Subtask index_parquet_to_elasticsearch
[2025-02-28T21:12:16.518+0000] {task_command.py:410} INFO - Running <TaskInstance: api_to_db_dag.index_parquet_to_elasticsearch scheduled__2025-02-28T21:10:00+00:00 [running]> on host 2e469bce1432
[2025-02-28T21:12:16.582+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='api_to_db_dag' AIRFLOW_CTX_TASK_ID='index_parquet_to_elasticsearch' AIRFLOW_CTX_EXECUTION_DATE='2025-02-28T21:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-28T21:10:00+00:00'
[2025-02-28T21:12:16.757+0000] {logging_mixin.py:149} WARNING - /home/***/.local/lib/python3.7/site-packages/pandas/core/array_algos/replace.py:84 FutureWarning: elementwise comparison failed; returning scalar instead, but in the future will perform elementwise comparison
[2025-02-28T21:12:16.939+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/velib_data_analytics [status:200 request:0.010s]
[2025-02-28T21:12:18.051+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.034s]
[2025-02-28T21:12:18.079+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.018s]
[2025-02-28T21:12:18.164+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.074s]
[2025-02-28T21:12:18.195+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.020s]
[2025-02-28T21:12:18.221+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
[2025-02-28T21:12:18.248+0000] {base.py:271} INFO - POST http://elasticsearch:9200/_bulk [status:200 request:0.016s]
